Training, CleanDataset, 100 files | SIFT, 1000 maxDesPerImg, 10 SIFT scale, 4 HOG cellsize, 2.20 s | 300 clusters, 0 binHist, 0.19 s | SDCA solver, Logistic loss, 1e-02 lambda, 0.03 s | 72.00% accuracy, 0.01 s | 6.25 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 9 SIFT scale, 4 HOG cellsize, 66.30 s | 128 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 27.26 s | 2.58% accuracy, 0.02 s | 98.02 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 9 SIFT scale, 4 HOG cellsize, 10.62 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 27.26 s | 3.32% accuracy, 0.01 s | 14.44 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 10 SIFT scale, 4 HOG cellsize, 64.99 s | 128 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.04 s | 27.44% accuracy, 0.02 s | 95.18 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 10 SIFT scale, 4 HOG cellsize, 10.10 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.04 s | 26.79% accuracy, 0.01 s | 13.88 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 11 SIFT scale, 4 HOG cellsize, 64.74 s | 128 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 25.55 s | 28.90% accuracy, 0.02 s | 94.41 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 11 SIFT scale, 4 HOG cellsize, 10.40 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 25.55 s | 28.57% accuracy, 0.01 s | 14.13 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 12 SIFT scale, 4 HOG cellsize, 65.78 s | 128 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.28 s | 19.54% accuracy, 0.02 s | 96.42 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 12 SIFT scale, 4 HOG cellsize, 10.51 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.28 s | 18.37% accuracy, 0.01 s | 14.61 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 13 SIFT scale, 4 HOG cellsize, 71.07 s | 128 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.25 s | 28.08% accuracy, 0.02 s | 101.73 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 13 SIFT scale, 4 HOG cellsize, 10.68 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 26.25 s | 26.02% accuracy, 0.01 s | 14.54 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 66.00 s | 128 clusters, 0 binHist, 0.13 s | SDCA solver, Logistic loss, 1e-05 lambda, 27.25 s | 21.14% accuracy, 0.02 s | 97.56 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 10.14 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 27.25 s | 21.17% accuracy, 0.01 s | 14.09 s
Training, CleanDataset, 5000 files | SIFT, 1 maxDesPerImg, 15 SIFT scale, 4 HOG cellsize, 65.97 s | 128 clusters, 0 binHist, 0.12 s | SDCA solver, Logistic loss, 1e-05 lambda, 27.36 s | 3.78% accuracy, 0.02 s | 97.77 s
Testing, CleanDataset, 784 files | SIFT, 1 maxDesPerImg, 15 SIFT scale, 4 HOG cellsize, 10.15 s | 128 clusters, 0 binHist, 0.02 s | SDCA solver, Logistic loss, 1e-05 lambda, 27.36 s | 3.70% accuracy, 0.01 s | 14.22 s


Executions comparing the cell size of HOG.

Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 2 HOG cellsize, 8.83 s | 335296 clusters, 0 binHist, 9.35 s | SDCA solver, Logistic loss, 1e-05 lambda, 185.88 s | 74.80% accuracy, 14.21 s | 225.02 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 2 HOG cellsize, 4.47 s | 335296 clusters, 0 binHist, 2.70 s | SDCA solver, Logistic loss, 1e-05 lambda, 185.88 s | 25.15% accuracy, 3.28 s | 15.41 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 3 HOG cellsize, 6.17 s | 147591 clusters, 0 binHist, 2.73 s | SDCA solver, Logistic loss, 1e-05 lambda, 96.86 s | 74.80% accuracy, 2.48 s | 112.84 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 3 HOG cellsize, 2.78 s | 147591 clusters, 0 binHist, 0.94 s | SDCA solver, Logistic loss, 1e-05 lambda, 96.86 s | 24.34% accuracy, 1.21 s | 8.95 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 5.08 s | 83824 clusters, 0 binHist, 1.21 s | SDCA solver, Logistic loss, 1e-05 lambda, 68.60 s | 74.80% accuracy, 1.35 s | 80.32 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 4 HOG cellsize, 2.47 s | 83824 clusters, 0 binHist, 0.53 s | SDCA solver, Logistic loss, 1e-05 lambda, 68.60 s | 25.77% accuracy, 0.62 s | 7.58 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 5 HOG cellsize, 4.74 s | 54684 clusters, 0 binHist, 0.88 s | SDCA solver, Logistic loss, 1e-05 lambda, 53.30 s | 74.80% accuracy, 1.03 s | 64.00 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 5 HOG cellsize, 2.56 s | 54684 clusters, 0 binHist, 0.38 s | SDCA solver, Logistic loss, 1e-05 lambda, 53.30 s | 24.74% accuracy, 0.39 s | 7.11 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 6 HOG cellsize, 4.30 s | 37975 clusters, 0 binHist, 0.51 s | SDCA solver, Logistic loss, 1e-05 lambda, 45.70 s | 74.80% accuracy, 0.62 s | 55.10 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 6 HOG cellsize, 2.43 s | 37975 clusters, 0 binHist, 0.23 s | SDCA solver, Logistic loss, 1e-05 lambda, 45.70 s | 24.95% accuracy, 0.26 s | 7.04 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 7 HOG cellsize, 4.46 s | 27900 clusters, 0 binHist, 0.42 s | SDCA solver, Logistic loss, 1e-05 lambda, 41.24 s | 74.80% accuracy, 0.42 s | 50.58 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 7 HOG cellsize, 2.20 s | 27900 clusters, 0 binHist, 0.14 s | SDCA solver, Logistic loss, 1e-05 lambda, 41.24 s | 25.15% accuracy, 0.21 s | 6.41 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 8 HOG cellsize, 4.02 s | 20956 clusters, 0 binHist, 0.28 s | SDCA solver, Logistic loss, 1e-05 lambda, 40.09 s | 74.80% accuracy, 0.32 s | 48.59 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 8 HOG cellsize, 2.15 s | 20956 clusters, 0 binHist, 0.10 s | SDCA solver, Logistic loss, 1e-05 lambda, 40.09 s | 25.97% accuracy, 0.16 s | 6.23 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 9 HOG cellsize, 3.94 s | 16399 clusters, 0 binHist, 0.23 s | SDCA solver, Logistic loss, 1e-05 lambda, 35.54 s | 74.80% accuracy, 0.24 s | 43.80 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 9 HOG cellsize, 1.89 s | 16399 clusters, 0 binHist, 0.08 s | SDCA solver, Logistic loss, 1e-05 lambda, 35.54 s | 25.56% accuracy, 0.12 s | 5.96 s
Training, CleanDataset, 1000 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 10 HOG cellsize, 4.03 s | 13671 clusters, 0 binHist, 0.18 s | SDCA solver, Logistic loss, 1e-05 lambda, 35.98 s | 74.60% accuracy, 0.21 s | 44.25 s
Testing, CleanDataset, 489 files | HOG, 1 maxDesPerImg, 14 SIFT scale, 10 HOG cellsize, 1.85 s | 13671 clusters, 0 binHist, 0.06 s | SDCA solver, Logistic loss, 1e-05 lambda, 35.98 s | 25.56% accuracy, 0.10 s | 5.61 s

